Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_cord_blood_S002R551_erythroblast_DiseaseFree	Myeloid	Erythroblast	red	'#FF6700'	0.687063
BP_cord_blood_S002S351_erythroblast_DiseaseFree	Myeloid	Erythroblast	red	'#FF6700'	0.662201
BP_cord_blood_S004BT51_CD34negative_CD41positive_CD42positive_megakaryocyte_cell_DiseaseFree	Myeloid	Megakaryocyte	red	'#FFB55C'	0.769784
BP_cord_blood_S004AV51_CD34negative_CD41positive_CD42positive_megakaryocyte_cell_DiseaseFree	Myeloid	Megakaryocyte	red	'#FFB55C'	0.734593
BP_cord_blood_C0068L51_CD38negative_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.875925
BP_cord_blood_C003K951_CD38negative_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.873656
BP_venous_blood_S001JP51_CD38negative_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.874824
BP_venous_blood_S01ECGA1_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.849165
BP_venous_blood_NBC_NC11_41_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.849197
BP_venous_blood_S00DM851_CD38negative_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.832806
BP_bone_marrow_G202_plasma_cell_DiseaseFree	Lymphoid	Plasma	blue	'#83FFFF'	0.345463
BP_venous_blood_NBC_NC11_83_naive_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.801108
BP_tonsil_GC_T14_10_germinal_center_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.69593
BP_tonsil_GC_T14_11_germinal_center_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.6575
BP_tonsil_G201_germinal_center_B_cell_DiseaseFree	Lymphoid	BCell	blue	'#1FBF82'	0.651757
BP_tonsil_PC_T14_10_plasma_cell_DiseaseFree	Lymphoid	Plasma	blue	'#83FFFF'	0.633029
BP_tonsil_PC_T12_20_plasma_cell_DiseaseFree	Lymphoid	Plasma	blue	'#83FFFF'	0.619408
BP_tonsil_PC_T13_1_plasma_cell_DiseaseFree	Lymphoid	Plasma	blue	'#83FFFF'	0.59802
BP_bone_marrow_bmPCs-V156_plasma_cell_DiseaseFree	Lymphoid	Plasma	blue	'#83FFFF'	0.439273
BP_venous_blood_C003N351_memory_B_cell_DiseaseFree	Lymphoid	memoryBCell	blue	'#036D03'	0.665365
BP_venous_blood_S004P151_class_switched_memory_B_cell_DiseaseFree	Lymphoid	memoryBCell	blue	'#036D03'	0.596249
BP_venous_blood_C003JB51_class_switched_memory_B_cell_DiseaseFree	Lymphoid	memoryBCell	blue	'#036D03'	0.594694
BP_venous_blood_S017RE51_memory_B_cell_DiseaseFree	Lymphoid	memoryBCell	blue	'#036D03'	0.597418
BP_venous_blood_csMBC_NC11_41_class_switched_memory_B_cell_DiseaseFree	Lymphoid	memoryBCell	blue	'#036D03'	0.474894
BP_cord_blood_S00C2F51_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.885816
BP_cord_blood_C0066P51_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.875117
BP_venous_blood_S009W451_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.862779
BP_venous_blood_S001U353_regulatory_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.713506
BP_venous_blood_S00XTP51_regulatory_T_cell_DiseaseFree	Lymphoid	TCell	blue	'#43B9F9'	0.559222
BP_venous_blood_S006YC51_central_memory_CD4positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.684942
BP_venous_blood_C003VO56_central_memory_CD8positive_alphabeta_T_cell_DiseaseFree	Lymphoid	memoryTCell	blue	'#002BFF'	0.664393
